domain,status,premium,reg_price,renew_price
beset.beer,AVAILABLE,0,1.54,26.26
beset.best,AVAILABLE,0,1.72,15.96
beset.click,AVAILABLE,1,76.94,109.69
beset.garden,AVAILABLE,0,1.54,26.26
beset.hair,AVAILABLE,0,1.54,12.98
beset.monster,AVAILABLE,0,1.54,12.98
beset.rest,AVAILABLE,0,1.54,26.26
beset.skin,AVAILABLE,0,1.54,12.98
beset.surf,AVAILABLE,0,1.54,26.26
bevel.lol,UNAVAILABLE,0,1.54,26.26
bevel.space,UNAVAILABLE,0,1.96,26.26
bevel.pics,UNAVAILABLE,0,1.54,26.26
bevel.quest,AVAILABLE,0,1.54,12.98
bevel.mom,AVAILABLE,0,1.54,26.26
bevel.beauty,AVAILABLE,0,1.54,12.98
bevel.beer,AVAILABLE,0,1.54,26.26
bevel.best,AVAILABLE,0,1.72,15.96
bevel.click,AVAILABLE,1,76.94,109.69
bevel.garden,AVAILABLE,0,1.54,26.26
bevel.hair,AVAILABLE,0,1.54,12.98
bevel.monster,AVAILABLE,0,1.54,12.98
bevel.rest,AVAILABLE,0,1.54,26.26
bevel.skin,AVAILABLE,0,1.54,12.98
bevel.surf,AVAILABLE,0,1.54,26.26
bezel.lol,AVAILABLE,0,1.54,26.26
bezel.space,AVAILABLE,1,27.82,109.69
bezel.pics,AVAILABLE,0,1.54,26.26
bezel.quest,AVAILABLE,0,1.54,12.98
bezel.mom,AVAILABLE,0,1.54,26.26
bezel.beauty,AVAILABLE,0,1.54,12.98
bezel.beer,AVAILABLE,0,1.54,26.26
bezel.best,AVAILABLE,0,1.72,15.96
bezel.click,UNAVAILABLE,1,76.94,109.69
bezel.garden,AVAILABLE,0,1.54,26.26
bezel.hair,AVAILABLE,0,1.54,12.98
bezel.monster,AVAILABLE,0,1.54,12.98
bezel.rest,AVAILABLE,0,1.54,26.26
bezel.skin,AVAILABLE,0,1.54,12.98
bezel.surf,AVAILABLE,0,1.54,26.26
bijou.lol,UNAVAILABLE,0,1.54,26.26
bijou.space,AVAILABLE,1,273.44,1092.18
bijou.pics,AVAILABLE,0,1.54,26.26
bijou.quest,AVAILABLE,0,1.54,12.98
bijou.mom,AVAILABLE,0,1.54,26.26
bijou.beauty,UNAVAILABLE,0,1.54,12.98
bijou.beer,AVAILABLE,0,1.54,26.26
bijou.best,AVAILABLE,0,1.72,15.96
bijou.click,AVAILABLE,1,76.94,109.69
bijou.garden,AVAILABLE,0,1.54,26.26
bijou.hair,AVAILABLE,0,1.54,12.98
bijou.monster,AVAILABLE,0,1.54,12.98
bijou.rest,AVAILABLE,0,1.54,26.26
bijou.skin,AVAILABLE,0,1.54,12.98
bijou.surf,AVAILABLE,0,1.54,26.26
bilk.lol,AVAILABLE,0,1.54,26.26
bilk.space,AVAILABLE,1,68.75,273.44
bilk.pics,AVAILABLE,0,1.54,26.26
bilk.quest,AVAILABLE,0,1.54,12.98
bilk.mom,AVAILABLE,0,1.54,26.26
bilk.beauty,AVAILABLE,0,1.54,12.98
bilk.beer,AVAILABLE,0,1.54,26.26
bilk.best,AVAILABLE,0,1.72,15.96
bilk.click,AVAILABLE,1,76.94,109.69
bilk.garden,AVAILABLE,0,1.54,26.26
bilk.hair,AVAILABLE,0,1.54,12.98
bilk.monster,AVAILABLE,0,1.54,12.98
bilk.rest,AVAILABLE,0,1.54,26.26
bilk.skin,AVAILABLE,0,1.54,12.98
bilk.surf,AVAILABLE,0,1.54,26.26
bisque.lol,AVAILABLE,0,1.54,26.26
bisque.space,AVAILABLE,1,27.82,109.69
bisque.pics,AVAILABLE,0,1.54,26.26
bisque.quest,AVAILABLE,0,1.54,12.98
bisque.mom,AVAILABLE,0,1.54,26.26
bisque.beauty,AVAILABLE,0,1.54,12.98
bisque.beer,UNAVAILABLE,0,1.54,26.26
bisque.best,AVAILABLE,0,1.72,15.96
bisque.click,AVAILABLE,0,1.54,10.81
bisque.garden,AVAILABLE,0,1.54,26.26
bisque.hair,AVAILABLE,0,1.54,12.98
bisque.monster,AVAILABLE,0,1.54,12.98
bisque.rest,AVAILABLE,1,138.07,197.02
bisque.skin,AVAILABLE,0,1.54,12.98
bisque.surf,AVAILABLE,0,1.54,26.26
blobby.lol,UNAVAILABLE,0,1.54,26.26
blobby.space,AVAILABLE,0,1.96,26.26
blobby.pics,AVAILABLE,0,1.54,26.26
blobby.quest,AVAILABLE,0,1.54,12.98
blobby.mom,AVAILABLE,0,1.54,26.26
blobby.beauty,AVAILABLE,0,1.54,12.98
blobby.beer,UNAVAILABLE,0,1.54,26.26
blobby.best,AVAILABLE,0,1.72,15.96
blobby.click,AVAILABLE,0,1.54,10.81
blobby.garden,AVAILABLE,0,1.54,26.26
blobby.hair,AVAILABLE,0,1.54,12.98
blobby.monster,AVAILABLE,0,1.54,12.98
blobby.rest,AVAILABLE,0,1.54,26.26
blobby.skin,AVAILABLE,0,1.54,12.98
blobby.surf,AVAILABLE,0,1.54,26.26
bloke.lol,AVAILABLE,0,1.54,26.26
