domain,status,premium,reg_price,renew_price
  💰 PREMIUM: long.click reg=$76.94
  💰 PREMIUM: long.garden reg=$44.19
  💰 PREMIUM: long.hair reg=$710.10
  💰 PREMIUM: long.monster reg=$546.35
  💰 PREMIUM: long.skin reg=$710.10
  💰 PREMIUM: long.surf reg=$87.86
long.lol,AVAILABLE,1,710.10,710.10
long.space,AVAILABLE,1,273.44,1092.18
long.pics,UNAVAILABLE,0,1.54,26.26
long.quest,AVAILABLE,1,710.10,13.74
long.mom,AVAILABLE,1,710.10,710.10
long.beauty,AVAILABLE,1,710.10,710.10
long.beer,UNAVAILABLE,0,1.54,26.26
long.best,AVAILABLE,1,76.94,76.94
long.click,AVAILABLE,1,76.94,109.69
long.garden,AVAILABLE,1,44.19,27.82
long.hair,AVAILABLE,1,710.10,710.10
long.monster,AVAILABLE,1,546.35,13.74
long.rest,UNAVAILABLE,1,69.30,98.77
long.skin,AVAILABLE,1,710.10,710.10
long.surf,AVAILABLE,1,87.86,27.82
  💰 PREMIUM: flex.quest reg=$710.10
  💰 PREMIUM: flex.beauty reg=$710.10
  ✓ CHEAP: flex.beer reg=$1.54 renew=$26.26
  💰 PREMIUM: flex.click reg=$382.61
  💰 PREMIUM: flex.hair reg=$710.10
  💰 PREMIUM: flex.monster reg=$218.86
  💰 PREMIUM: flex.skin reg=$710.10
  💰 PREMIUM: flex.surf reg=$44.19
flex.lol,UNAVAILABLE,0,1.54,26.26
flex.space,UNAVAILABLE,1,68.75,273.44
flex.pics,UNAVAILABLE,0,1.54,26.26
flex.quest,AVAILABLE,1,710.10,13.74
flex.mom,UNAVAILABLE,1,109.69,109.69
flex.beauty,AVAILABLE,1,710.10,710.10
flex.beer,AVAILABLE,0,1.54,26.26
flex.best,UNAVAILABLE,0,1.72,15.96
flex.click,AVAILABLE,1,382.61,546.35
flex.garden,UNAVAILABLE,0,1.54,26.26
flex.hair,AVAILABLE,1,710.10,710.10
