domain,status,premium,reg_price,renew_price
bliss.beer,UNAVAILABLE,0,1.54,26.26
bliss.best,AVAILABLE,1,76.94,76.94
bliss.click,UNAVAILABLE,0,1.54,10.81
bliss.garden,AVAILABLE,1,873.85,27.82
bliss.hair,AVAILABLE,1,2183.84,2183.84
bliss.monster,UNAVAILABLE,0,1.54,12.98
bliss.rest,UNAVAILABLE,0,1.54,26.26
bliss.skin,AVAILABLE,1,2183.84,2183.84
bliss.surf,UNAVAILABLE,0,1.54,26.26
boar.lol,UNAVAILABLE,0,1.54,26.26
boar.space,AVAILABLE,1,136.98,546.35
boar.pics,AVAILABLE,0,1.54,26.26
boar.quest,AVAILABLE,0,1.54,12.98
boar.mom,AVAILABLE,0,1.54,26.26
boar.beauty,UNAVAILABLE,0,1.54,12.98
boar.beer,AVAILABLE,0,1.54,26.26
boar.best,AVAILABLE,0,1.72,15.96
boar.click,AVAILABLE,1,76.94,109.69
boar.garden,AVAILABLE,0,1.54,26.26
boar.hair,AVAILABLE,0,1.54,12.98
boar.monster,AVAILABLE,0,1.54,12.98
boar.rest,AVAILABLE,0,1.54,26.26
boar.skin,AVAILABLE,0,1.54,12.98
boar.surf,AVAILABLE,0,1.54,26.26
bobbin.lol,UNAVAILABLE,0,1.54,26.26
bobbin.space,AVAILABLE,1,68.75,273.44
bobbin.pics,AVAILABLE,0,1.54,26.26
bobbin.quest,AVAILABLE,0,1.54,12.98
bobbin.mom,AVAILABLE,0,1.54,26.26
bobbin.beauty,AVAILABLE,0,1.54,12.98
bobbin.beer,UNAVAILABLE,0,1.54,26.26
bobbin.best,AVAILABLE,0,1.72,15.96
bobbin.click,AVAILABLE,0,1.54,10.81
bobbin.garden,AVAILABLE,0,1.54,26.26
bobbin.hair,AVAILABLE,0,1.54,12.98
bobbin.monster,AVAILABLE,0,1.54,12.98
bobbin.rest,AVAILABLE,0,1.54,26.26
bobbin.skin,AVAILABLE,0,1.54,12.98
bobbin.surf,AVAILABLE,0,1.54,26.26
bole.lol,AVAILABLE,0,1.54,26.26
bole.space,AVAILABLE,1,68.75,273.44
bole.pics,AVAILABLE,0,1.54,26.26
bole.quest,AVAILABLE,0,1.54,12.98
bole.mom,UNAVAILABLE,0,1.54,26.26
bole.beauty,AVAILABLE,0,1.54,12.98
bole.beer,AVAILABLE,1,44.19,27.82
bole.best,AVAILABLE,0,1.72,15.96
bole.click,AVAILABLE,1,76.94,109.69
bole.garden,AVAILABLE,0,1.54,26.26
bole.hair,AVAILABLE,0,1.54,12.98
